,Date.,arb_bayaoas_aguilarpang_00.07,Date.1,arb_camilingriver_mayantoctar_98.07,Date.2,aarb_naganriv_lunaapayao_00.10,Date.3,abrb_sinalangriv_lingsadpenarubia_00.03,Date.4,aarb_abulugriv_lukbancagayan,Date.5,crb_aligapay_quirino_01.09,Date.6,crb_benayriv_dupaxnv_06.10,Date.7,crb_buenavista_cagayanriver_isabela_00.05,Date.8,crb_jones_isabela_00.12,Date.9,Stream.Flow,Date.10,crb_dipantan_nagtipunan_quirino_00.08,Date.11,crb_magatriver_bagabagnuevavis_98.02,NA.,Date.12,crb_pinacuananriv_ilaganisabela_00.10,Date.13,crb_tugue_pinacuananriv_00.09,Date.14,crb_saltanriv_pinukpukkalinga_01.10,Date.15,crb_upi_cagayanriver_isabela_00.05,Date.16,prb_baliwagriv_stodomingonuevacija_00.06,Date.17,prb_arayat_pampriver_00-02,Date.18,prb_coronelriv_bongabonnuevaecija_00.04,NA.1,Date.19,prb_pobsanisidro_pampriver_00-05,Date.20,Stream.Flow1,Date.21,prb_riochico_zaragozanuevacija_00.06,Date.22,Stream.Flow2,mrb_stoninoriver_marikina_00-05
11,1/11/1998,250,1/11/1998,3900,1/11/1998,NA,1/11/1998,NA,1/11/1998,NA,1/11/1998,NA,1/11/1998,,1/11/1998,NA,1/11/1998,20900,1/11/1998,1470,1/11/1998,10800,1/11/1998,17800,NA,1/11/1998,46000,1/11/1998,10950,1/11/1998,NA,1/11/1998,150200,1/11/1998,NA,1/11/1998,45800,1/11/1998,2900,NA,1/11/1998,NA,1/11/1998,NA,1/11/1998,26680,1/11/1998,NA,
12,1/12/1998,250,1/12/1998,3600,1/12/1998,NA,1/12/1998,NA,1/12/1998,NA,1/12/1998,NA,1/12/1998,,1/12/1998,NA,1/12/1998,20900,1/12/1998,1470,1/12/1998,10800,1/12/1998,17800,NA,1/12/1998,45100,1/12/1998,10950,1/12/1998,NA,1/12/1998,162800,1/12/1998,NA,1/12/1998,42200,1/12/1998,2900,NA,1/12/1998,NA,1/12/1998,NA,1/12/1998,26680,1/12/1998,NA,
13,1/13/1998,250,1/13/1998,3300,1/13/1998,NA,1/13/1998,NA,1/13/1998,NA,1/13/1998,NA,1/13/1998,,1/13/1998,NA,1/13/1998,20900,1/13/1998,1430,1/13/1998,10800,1/13/1998,19000,NA,1/13/1998,44200,1/13/1998,10950,1/13/1998,NA,1/13/1998,162800,1/13/1998,NA,1/13/1998,41600,1/13/1998,2800,NA,1/13/1998,NA,1/13/1998,NA,1/13/1998,26440,1/13/1998,NA,
14,1/14/1998,250,1/14/1998,3000,1/14/1998,NA,1/14/1998,NA,1/14/1998,NA,1/14/1998,NA,1/14/1998,,1/14/1998,NA,1/14/1998,20900,1/14/1998,1430,1/14/1998,10800,1/14/1998,19600,NA,1/14/1998,45100,1/14/1998,10950,1/14/1998,NA,1/14/1998,154400,1/14/1998,NA,1/14/1998,39800,1/14/1998,2800,NA,1/14/1998,NA,1/14/1998,NA,1/14/1998,26440,1/14/1998,NA,
15,1/15/1998,250,1/15/1998,2700,1/15/1998,NA,1/15/1998,NA,1/15/1998,NA,1/15/1998,NA,1/15/1998,,1/15/1998,NA,1/15/1998,22200,1/15/1998,1430,1/15/1998,10800,1/15/1998,20200,NA,1/15/1998,45100,1/15/1998,10505,1/15/1998,NA,1/15/1998,144200,1/15/1998,NA,1/15/1998,35600,1/15/1998,2800,NA,1/15/1998,NA,1/15/1998,NA,1/15/1998,26440,1/15/1998,NA,
16,1/16/1998,250,1/16/1998,2400,1/16/1998,NA,1/16/1998,NA,1/16/1998,NA,1/16/1998,NA,1/16/1998,,1/16/1998,NA,1/16/1998,20900,1/16/1998,1350,1/16/1998,10800,1/16/1998,20800,NA,1/16/1998,45100,1/16/1998,10505,1/16/1998,NA,1/16/1998,137000,1/16/1998,NA,1/16/1998,34000,1/16/1998,2800,NA,1/16/1998,NA,1/16/1998,NA,1/16/1998,26440,1/16/1998,NA,
17,1/17/1998,250,1/17/1998,3600,1/17/1998,NA,1/17/1998,NA,1/17/1998,NA,1/17/1998,NA,1/17/1998,,1/17/1998,NA,1/17/1998,19600,1/17/1998,1350,1/17/1998,10800,1/17/1998,22000,NA,1/17/1998,44200,1/17/1998,10505,1/17/1998,NA,1/17/1998,129800,1/17/1998,NA,1/17/1998,36200,1/17/1998,2800,NA,1/17/1998,NA,1/17/1998,NA,1/17/1998,26200,1/17/1998,NA,
18,1/18/1998,225,1/18/1998,3300,1/18/1998,NA,1/18/1998,NA,1/18/1998,NA,1/18/1998,NA,1/18/1998,,1/18/1998,NA,1/18/1998,19600,1/18/1998,1350,1/18/1998,10400,1/18/1998,22600,NA,1/18/1998,43300,1/18/1998,10505,1/18/1998,NA,1/18/1998,144200,1/18/1998,NA,1/18/1998,38600,1/18/1998,2800,NA,1/18/1998,NA,1/18/1998,NA,1/18/1998,26200,1/18/1998,NA,
19,1/19/1998,225,1/19/1998,3000,1/19/1998,NA,1/19/1998,NA,1/19/1998,NA,1/19/1998,NA,1/19/1998,,1/19/1998,NA,1/19/1998,18300,1/19/1998,1350,1/19/1998,10400,1/19/1998,23200,NA,1/19/1998,41500,1/19/1998,10505,1/19/1998,NA,1/19/1998,142400,1/19/1998,NA,1/19/1998,38000,1/19/1998,2800,NA,1/19/1998,NA,1/19/1998,NA,1/19/1998,26200,1/19/1998,NA,
20,1/20/1998,225,1/20/1998,6500,1/20/1998,NA,1/20/1998,NA,1/20/1998,NA,1/20/1998,NA,1/20/1998,,1/20/1998,NA,1/20/1998,17000,1/20/1998,1350,1/20/1998,10000,1/20/1998,23800,NA,1/20/1998,43300,1/20/1998,10505,1/20/1998,NA,1/20/1998,137000,1/20/1998,NA,1/20/1998,38000,1/20/1998,2800,NA,1/20/1998,NA,1/20/1998,NA,1/20/1998,25960,1/20/1998,NA,
21,1/21/1998,225,1/21/1998,5500,1/21/1998,NA,1/21/1998,NA,1/21/1998,NA,1/21/1998,NA,1/21/1998,,1/21/1998,NA,1/21/1998,17000,1/21/1998,1350,1/21/1998,10000,1/21/1998,25600,NA,1/21/1998,58000,1/21/1998,10505,1/21/1998,NA,1/21/1998,142400,1/21/1998,NA,1/21/1998,36800,1/21/1998,2800,NA,1/21/1998,NA,1/21/1998,NA,1/21/1998,25960,1/21/1998,NA,
22,1/22/1998,225,1/22/1998,5000,1/22/1998,NA,1/22/1998,NA,1/22/1998,NA,1/22/1998,NA,1/22/1998,,1/22/1998,NA,1/22/1998,24800,1/22/1998,1270,1/22/1998,10400,1/22/1998,25000,NA,1/22/1998,56800,1/22/1998,10505,1/22/1998,NA,1/22/1998,156500,1/22/1998,NA,1/22/1998,39800,1/22/1998,2800,NA,1/22/1998,NA,1/22/1998,NA,1/22/1998,25960,1/22/1998,NA,
23,1/23/1998,225,1/23/1998,4500,1/23/1998,NA,1/23/1998,NA,1/23/1998,NA,1/23/1998,NA,1/23/1998,,1/23/1998,NA,1/23/1998,22200,1/23/1998,1270,1/23/1998,10800,1/23/1998,24400,NA,1/23/1998,50800,1/23/1998,10505,1/23/1998,NA,1/23/1998,173900,1/23/1998,NA,1/23/1998,45200,1/23/1998,2725,NA,1/23/1998,NA,1/23/1998,NA,1/23/1998,25720,1/23/1998,NA,
24,1/24/1998,200,1/24/1998,4200,1/24/1998,NA,1/24/1998,NA,1/24/1998,NA,1/24/1998,NA,1/24/1998,,1/24/1998,NA,1/24/1998,20900,1/24/1998,1270,1/24/1998,10800,1/24/1998,23800,NA,1/24/1998,48400,1/24/1998,10505,1/24/1998,NA,1/24/1998,185400,1/24/1998,NA,1/24/1998,42200,1/24/1998,2725,NA,1/24/1998,NA,1/24/1998,NA,1/24/1998,25720,1/24/1998,NA,
25,1/25/1998,200,1/25/1998,3900,1/25/1998,NA,1/25/1998,NA,1/25/1998,NA,1/25/1998,NA,1/25/1998,,1/25/1998,NA,1/25/1998,19600,1/25/1998,1270,1/25/1998,10800,1/25/1998,22600,NA,1/25/1998,48400,1/25/1998,10060,1/25/1998,NA,1/25/1998,197500,1/25/1998,NA,1/25/1998,36200,1/25/1998,2725,NA,1/25/1998,NA,1/25/1998,NA,1/25/1998,25720,1/25/1998,NA,
26,1/26/1998,200,1/26/1998,3600,1/26/1998,NA,1/26/1998,NA,1/26/1998,NA,1/26/1998,NA,1/26/1998,,1/26/1998,NA,1/26/1998,30000,1/26/1998,1350,1/26/1998,11200,1/26/1998,22000,NA,1/26/1998,56800,1/26/1998,10060,1/26/1998,NA,1/26/1998,212500,1/26/1998,NA,1/26/1998,34000,1/26/1998,2725,NA,1/26/1998,NA,1/26/1998,NA,1/26/1998,25490,1/26/1998,NA,
27,1/27/1998,200,1/27/1998,3300,1/27/1998,NA,1/27/1998,NA,1/27/1998,NA,1/27/1998,NA,1/27/1998,,1/27/1998,NA,1/27/1998,31600,1/27/1998,1350,1/27/1998,12400,1/27/1998,20800,NA,1/27/1998,75600,1/27/1998,10060,1/27/1998,NA,1/27/1998,205000,1/27/1998,NA,1/27/1998,31000,1/27/1998,2725,NA,1/27/1998,NA,1/27/1998,NA,1/27/1998,25490,1/27/1998,NA,
28,1/28/1998,200,1/28/1998,2700,1/28/1998,NA,1/28/1998,NA,1/28/1998,NA,1/28/1998,NA,1/28/1998,,1/28/1998,NA,1/28/1998,26100,1/28/1998,1350,1/28/1998,13200,1/28/1998,20200,NA,1/28/1998,64600,1/28/1998,10060,1/28/1998,NA,1/28/1998,190000,1/28/1998,NA,1/28/1998,36200,1/28/1998,2725,NA,1/28/1998,NA,1/28/1998,NA,1/28/1998,25490,1/28/1998,NA,
29,1/29/1998,175,1/29/1998,2400,1/29/1998,NA,1/29/1998,NA,1/29/1998,NA,1/29/1998,NA,1/29/1998,,1/29/1998,NA,1/29/1998,23500,1/29/1998,1550,1/29/1998,14000,1/29/1998,20200,NA,1/29/1998,80000,1/29/1998,10060,1/29/1998,NA,1/29/1998,183100,1/29/1998,NA,1/29/1998,38600,1/29/1998,2725,NA,1/29/1998,NA,1/29/1998,NA,1/29/1998,25490,1/29/1998,NA,
30,1/30/1998,175,1/30/1998,3000,1/30/1998,NA,1/30/1998,NA,1/30/1998,NA,1/30/1998,NA,1/30/1998,,1/30/1998,NA,1/30/1998,57400,1/30/1998,1470,1/30/1998,19500,1/30/1998,19600,NA,1/30/1998,101000,1/30/1998,14940,1/30/1998,NA,1/30/1998,173900,1/30/1998,NA,1/30/1998,37400,1/30/1998,2725,NA,1/30/1998,NA,1/30/1998,NA,1/30/1998,25260,1/30/1998,NA,
31,1/31/1998,175,1/31/1998,2700,1/31/1998,NA,1/31/1998,NA,1/31/1998,NA,1/31/1998,NA,1/31/1998,,1/31/1998,NA,1/31/1998,55500,1/31/1998,1470,1/31/1998,18400,1/31/1998,19000,NA,1/31/1998,120500,1/31/1998,102490,1/31/1998,NA,1/31/1998,164900,1/31/1998,NA,1/31/1998,38600,1/31/1998,2725,NA,1/31/1998,NA,1/31/1998,NA,1/31/1998,25260,1/31/1998,NA,
32,2/1/1998,165,2/1/1998,2400,2/1/1998,NA,2/1/1998,NA,2/1/1998,NA,2/1/1998,NA,2/1/1998,,2/1/1998,NA,2/1/1998,53600,2/1/1998,1350,2/1/1998,16750,2/1/1998,19000,NA,2/1/1998,110000,2/1/1998,44030,2/1/1998,NA,2/1/1998,154400,2/1/1998,NA,2/1/1998,37400,2/1/1998,2650,NA,2/1/1998,NA,2/1/1998,NA,2/1/1998,25260,2/1/1998,NA,
33,2/2/1998,165,2/2/1998,2100,2/2/1998,NA,2/2/1998,NA,2/2/1998,NA,2/2/1998,NA,2/2/1998,,2/2/1998,NA,2/2/1998,47900,2/2/1998,1350,2/2/1998,15650,2/2/1998,18400,NA,2/2/1998,95000,2/2/1998,28590,2/2/1998,NA,2/2/1998,140600,2/2/1998,NA,2/2/1998,36800,2/2/1998,2650,NA,2/2/1998,NA,2/2/1998,NA,2/2/1998,25260,2/2/1998,NA,
34,2/3/1998,165,2/3/1998,1800,2/3/1998,NA,2/3/1998,NA,2/3/1998,NA,2/3/1998,NA,2/3/1998,,2/3/1998,NA,2/3/1998,33200,2/3/1998,1270,2/3/1998,13600,2/3/1998,17200,NA,2/3/1998,89000,2/3/1998,19710,2/3/1998,NA,2/3/1998,150200,2/3/1998,NA,2/3/1998,38600,2/3/1998,2650,NA,2/3/1998,NA,2/3/1998,NA,2/3/1998,25260,2/3/1998,NA,
35,2/4/1998,165,2/4/1998,3300,2/4/1998,NA,2/4/1998,NA,2/4/1998,NA,2/4/1998,NA,2/4/1998,,2/4/1998,NA,2/4/1998,28700,2/4/1998,1270,2/4/1998,12000,2/4/1998,17200,NA,2/4/1998,101000,2/4/1998,18040,2/4/1998,NA,2/4/1998,140600,2/4/1998,NA,2/4/1998,40400,2/4/1998,2650,NA,2/4/1998,NA,2/4/1998,NA,2/4/1998,25260,2/4/1998,NA,
36,2/5/1998,155,2/5/1998,3000,2/5/1998,NA,2/5/1998,NA,2/5/1998,NA,2/5/1998,NA,2/5/1998,,2/5/1998,NA,2/5/1998,26100,2/5/1998,1270,2/5/1998,10400,2/5/1998,16600,NA,2/5/1998,95000,2/5/1998,16800,2/5/1998,NA,2/5/1998,129800,2/5/1998,NA,2/5/1998,42800,2/5/1998,2650,NA,2/5/1998,NA,2/5/1998,NA,2/5/1998,25260,2/5/1998,NA,
37,2/6/1998,155,2/6/1998,2700,2/6/1998,NA,2/6/1998,NA,2/6/1998,NA,2/6/1998,NA,2/6/1998,,2/6/1998,NA,2/6/1998,24800,2/6/1998,1270,2/6/1998,8800,2/6/1998,16600,NA,2/6/1998,113500,2/6/1998,16180,2/6/1998,NA,2/6/1998,121600,2/6/1998,NA,2/6/1998,46400,2/6/1998,2725,NA,2/6/1998,NA,2/6/1998,NA,2/6/1998,25030,2/6/1998,NA,
38,2/7/1998,155,2/7/1998,2400,2/7/1998,NA,2/7/1998,NA,2/7/1998,NA,2/7/1998,NA,2/7/1998,,2/7/1998,NA,2/7/1998,22200,2/7/1998,1270,2/7/1998,7900,2/7/1998,16000,NA,2/7/1998,117000,2/7/1998,15560,2/7/1998,NA,2/7/1998,116800,2/7/1998,NA,2/7/1998,42200,2/7/1998,2725,NA,2/7/1998,NA,2/7/1998,NA,2/7/1998,25030,2/7/1998,NA,
39,2/8/1998,155,2/8/1998,2400,2/8/1998,NA,2/8/1998,NA,2/8/1998,NA,2/8/1998,NA,2/8/1998,,2/8/1998,NA,2/8/1998,22200,2/8/1998,1270,2/8/1998,7300,2/8/1998,15400,NA,2/8/1998,110000,2/8/1998,14320,2/8/1998,NA,2/8/1998,100800,2/8/1998,NA,2/8/1998,39200,2/8/1998,2725,NA,2/8/1998,NA,2/8/1998,NA,2/8/1998,25030,2/8/1998,NA,
40,2/9/1998,155,2/9/1998,2400,2/9/1998,NA,2/9/1998,NA,2/9/1998,NA,2/9/1998,NA,2/9/1998,,2/9/1998,NA,2/9/1998,30000,2/9/1998,1270,2/9/1998,7300,2/9/1998,14800,NA,2/9/1998,104000,2/9/1998,13700,2/9/1998,NA,2/9/1998,72900,2/9/1998,NA,2/9/1998,36200,2/9/1998,2725,NA,2/9/1998,NA,2/9/1998,NA,2/9/1998,25030,2/9/1998,NA,
41,2/10/1998,155,2/10/1998,2400,2/10/1998,NA,2/10/1998,NA,2/10/1998,NA,2/10/1998,NA,2/10/1998,,2/10/1998,NA,2/10/1998,28700,2/10/1998,1270,2/10/1998,7600,2/10/1998,14800,NA,2/10/1998,101000,2/10/1998,12460,2/10/1998,NA,2/10/1998,66000,2/10/1998,NA,2/10/1998,33500,2/10/1998,2725,NA,2/10/1998,NA,2/10/1998,NA,2/10/1998,25030,2/10/1998,NA,
42,2/11/1998,155,2/11/1998,2400,2/11/1998,NA,2/11/1998,NA,2/11/1998,NA,2/11/1998,NA,2/11/1998,,2/11/1998,NA,2/11/1998,28700,2/11/1998,1270,2/11/1998,7600,2/11/1998,14800,NA,2/11/1998,86000,2/11/1998,12460,2/11/1998,NA,2/11/1998,62000,2/11/1998,NA,2/11/1998,33500,2/11/1998,2725,NA,2/11/1998,NA,2/11/1998,NA,2/11/1998,25030,2/11/1998,NA,
43,2/12/1998,155,2/12/1998,2400,2/12/1998,NA,2/12/1998,NA,2/12/1998,NA,2/12/1998,NA,2/12/1998,,2/12/1998,NA,2/12/1998,27400,2/12/1998,1270,2/12/1998,7300,2/12/1998,14800,NA,2/12/1998,77800,2/12/1998,11395,2/12/1998,NA,2/12/1998,83400,2/12/1998,NA,2/12/1998,30500,2/12/1998,2725,NA,2/12/1998,NA,2/12/1998,NA,2/12/1998,25030,2/12/1998,NA,
44,2/13/1998,155,2/13/1998,2400,2/13/1998,NA,2/13/1998,NA,2/13/1998,NA,2/13/1998,NA,2/13/1998,,2/13/1998,NA,2/13/1998,24800,2/13/1998,1270,2/13/1998,7300,2/13/1998,14800,NA,2/13/1998,66800,2/13/1998,11395,2/13/1998,NA,2/13/1998,97600,2/13/1998,NA,2/13/1998,33500,2/13/1998,2640,NA,2/13/1998,NA,2/13/1998,NA,2/13/1998,24800,2/13/1998,NA,
45,2/14/1998,155,2/14/1998,2400,2/14/1998,NA,2/14/1998,NA,2/14/1998,NA,2/14/1998,NA,2/14/1998,,2/14/1998,NA,2/14/1998,24800,2/14/1998,1270,2/14/1998,7300,2/14/1998,14800,NA,2/14/1998,58000,2/14/1998,11395,2/14/1998,NA,2/14/1998,102400,2/14/1998,NA,2/14/1998,32000,2/14/1998,2640,NA,2/14/1998,NA,2/14/1998,NA,2/14/1998,24800,2/14/1998,NA,
46,2/15/1998,155,2/15/1998,2400,2/15/1998,NA,2/15/1998,NA,2/15/1998,NA,2/15/1998,NA,2/15/1998,,2/15/1998,NA,2/15/1998,23500,2/15/1998,1270,2/15/1998,7000,2/15/1998,14800,NA,2/15/1998,50800,2/15/1998,11395,2/15/1998,NA,2/15/1998,108800,2/15/1998,NA,2/15/1998,28000,2/15/1998,2640,NA,2/15/1998,NA,2/15/1998,NA,2/15/1998,24800,2/15/1998,NA,
47,2/16/1998,145,2/16/1998,2400,2/16/1998,NA,2/16/1998,NA,2/16/1998,NA,2/16/1998,NA,2/16/1998,,2/16/1998,NA,2/16/1998,22200,2/16/1998,1270,2/16/1998,7000,2/16/1998,14800,NA,2/16/1998,48400,2/16/1998,10950,2/16/1998,NA,2/16/1998,102400,2/16/1998,NA,2/16/1998,39800,2/16/1998,2640,NA,2/16/1998,NA,2/16/1998,NA,2/16/1998,24800,2/16/1998,NA,
48,2/17/1998,145,2/17/1998,3600,2/17/1998,NA,2/17/1998,NA,2/17/1998,NA,2/17/1998,NA,2/17/1998,,2/17/1998,NA,2/17/1998,19600,2/17/1998,1230,2/17/1998,7000,2/17/1998,14800,NA,2/17/1998,44200,2/17/1998,10950,2/17/1998,NA,2/17/1998,96000,2/17/1998,NA,2/17/1998,50000,2/17/1998,2640,NA,2/17/1998,NA,2/17/1998,NA,2/17/1998,24800,2/17/1998,NA,
49,2/18/1998,145,2/18/1998,3300,2/18/1998,NA,2/18/1998,NA,2/18/1998,NA,2/18/1998,NA,2/18/1998,,2/18/1998,NA,2/18/1998,19600,2/18/1998,1230,2/18/1998,6780,2/18/1998,14800,NA,2/18/1998,43300,2/18/1998,10950,2/18/1998,NA,2/18/1998,86200,2/18/1998,NA,2/18/1998,56600,2/18/1998,2640,NA,2/18/1998,NA,2/18/1998,NA,2/18/1998,24800,2/18/1998,NA,
50,2/19/1998,145,2/19/1998,3000,2/19/1998,NA,2/19/1998,NA,2/19/1998,NA,2/19/1998,NA,2/19/1998,,2/19/1998,NA,2/19/1998,19600,2/19/1998,1230,2/19/1998,6780,2/19/1998,14800,NA,2/19/1998,40600,2/19/1998,10505,2/19/1998,NA,2/19/1998,90400,2/19/1998,NA,2/19/1998,51800,2/19/1998,2640,NA,2/19/1998,NA,2/19/1998,NA,2/19/1998,24800,2/19/1998,NA,
51,2/20/1998,145,2/20/1998,2700,2/20/1998,NA,2/20/1998,NA,2/20/1998,NA,2/20/1998,NA,2/20/1998,,2/20/1998,NA,2/20/1998,20900,2/20/1998,1230,2/20/1998,6780,2/20/1998,14800,NA,2/20/1998,37900,2/20/1998,10505,2/20/1998,NA,2/20/1998,83400,2/20/1998,NA,2/20/1998,44600,2/20/1998,2630,NA,2/20/1998,NA,2/20/1998,NA,2/20/1998,24570,2/20/1998,NA,
52,2/21/1998,145,2/21/1998,2400,2/21/1998,NA,2/21/1998,NA,2/21/1998,NA,2/21/1998,NA,2/21/1998,,2/21/1998,NA,2/21/1998,19600,2/21/1998,1230,2/21/1998,6780,2/21/1998,14800,NA,2/21/1998,41500,2/21/1998,10060,2/21/1998,NA,2/21/1998,76800,2/21/1998,NA,2/21/1998,41600,2/21/1998,2630,NA,2/21/1998,NA,2/21/1998,NA,2/21/1998,24570,2/21/1998,NA,
53,2/22/1998,145,2/22/1998,2100,2/22/1998,NA,2/22/1998,NA,2/22/1998,NA,2/22/1998,NA,2/22/1998,,2/22/1998,NA,2/22/1998,18300,2/22/1998,1230,2/22/1998,6560,2/22/1998,14800,NA,2/22/1998,41500,2/22/1998,10060,2/22/1998,NA,2/22/1998,76800,2/22/1998,NA,2/22/1998,38000,2/22/1998,2630,NA,2/22/1998,NA,2/22/1998,NA,2/22/1998,24570,2/22/1998,NA,
54,2/23/1998,145,2/23/1998,2100,2/23/1998,NA,2/23/1998,NA,2/23/1998,NA,2/23/1998,NA,2/23/1998,,2/23/1998,NA,2/23/1998,17000,2/23/1998,1230,2/23/1998,6560,2/23/1998,14800,NA,2/23/1998,42400,2/23/1998,10060,2/23/1998,NA,2/23/1998,82000,2/23/1998,NA,2/23/1998,38000,2/23/1998,2630,NA,2/23/1998,NA,2/23/1998,NA,2/23/1998,24570,2/23/1998,NA,
