date,Aparri..Cagayan.Wind.Speed.Dly..m.s.,Aparri..Cagayan.Temp.Dry.Min.Dly..degC.,Aparri..Cagayan.Temp.Dry.Max.Dly..degC.,Aparri..Cagayan.Prec.Sum.Dly..mm.,Aparri..Cagayan.RelHumidity.Dly....,BPI.Experiment.Station..Baguio.City.Wind.Speed..m.s.,BPI.Experiment.Station..Baguio.City.Temp.Dry.Max..degC.,BPI.Experiment.Station..Baguio.City.Temp.Dry.Min..degC.,BPI.Experiment.Station..Baguio.City.Prec.Sum.Dly08..mm.,BPI.Experiment.Station..Baguio.City.Rel.Humidity,MMSU.Batac..Ilocos.Norte.Wind.Speed..m.s.,MMSU.Batac..Ilocos.Norte.Temp.Dry.Min..degC.,MMSU.Batac..Ilocos.Norte.Temp.Dry.Max..degC.,MMSU.Batac..Ilocos.Norte.Prec.Sum.Dly08..mm.,MMSU.Batac..Ilocos.Norte.RelHumidity....,Cabanatuan..Nueva.Ecija.Wind.Speed.Dly..m.s.,Cabanatuan..Nueva.Ecija.Temp.Dry.Min.Dly..degC.,Cabanatuan..Nueva.Ecija.Temp.Dry.Max.Dly..degC.,Cabanatuan..Nueva.Ecija.Prec.Sum.Dly..mm.,Cabanatuan..Nueva.Ecija.RelHumidity.Dly....,Casiguran..Aurora.Wind.Speed.Dly..m.s.,Casiguran..Aurora.Temp.Dry.Min.Dly..degC.,Casiguran..Aurora.Temp.Dry.Max.Dly..degC.,Casiguran..Aurora.Prec.Sum.Dly..mm.,Casiguran..Aurora.RelHumidity.Dly....,ISU.Echague..Isabela.Wind.Speed..m.s.,ISU.Echague..Isabela.Temp.Dry.Min..degC.,ISU.Echague..Isabela.Temp.Dry.Max..degC.,ISU.Echague..Isabela.Prec.Sum.Dly08..mm.,ISU.Echague..Isabela.Rel.Humidity,CLSU.Mu√.oz..Nueva.Ecija.Wind.Speed..m.s.,CLSU.Mu√.oz..Nueva.Ecija.Temp.Dry.Min..degC.,CLSU.Mu√.oz..Nueva.Ecija.Temp.Dry.Max..degC.,CLSU.Mu√.oz..Nueva.Ecija.Prec.Sum.Dly08..mm.,CLSU.Mu√.oz..Nueva.Ecija.Rel.Humidity,Science.Garden.Quezon.City..Metro.Manila.Wind.Speed.Dly..m.s.,Science.Garden.Quezon.City..Metro.Manila.Temp.Dry.Min.Dly..degC.,Science.Garden.Quezon.City..Metro.Manila.Temp.Dry.Max.Dly..degC.,Science.Garden.Quezon.City..Metro.Manila.Prec.Sum.Dly..mm.,Science.Garden.Quezon.City..Metro.Manila.RelHumidity.Dly....,Sinait..Ilocos.Sur.Wind.Speed.Dly..m.s.,Sinait..Ilocos.Sur.Temp.Dry.Min.Dly..degC.,Sinait..Ilocos.Sur.Temp.Dry.Max.Dly..degC.,Sinait..Ilocos.Sur.Prec.Sum.Dly..mm.,Sinait..Ilocos.Sur.RelHumidity.Dly....,TCA.Camiling..Tarlac.Wind.Speed..m.s.,TCA.Camiling..Tarlac.Temp.Dry.Min..degC.,TCA.Camiling..Tarlac.Temp.Dry.Max..degC.,TCA.Camiling..Tarlac.Prec.Sum.Dly08..mm.,TCA.Camiling..Tarlac.Rel.Humidity,Tuguegarao.City..Cagayan.Wind.Speed.Dly..m.s.,Tuguegarao.City..Cagayan.Temp.Dry.Min.Dly..degC.,Tuguegarao.City..Cagayan.Temp.Dry.Max.Dly..degC.,Tuguegarao.City..Cagayan.Prec.Sum.Dly..mm.,Tuguegarao.City..Cagayan.RelHumidity.Dly....
1/11/1998,5,22,27.5,0,90.93,4,28.5,23,9.6,88.08255474,2,21,29.5,0,85,1,23.2,31.2,21,91.09,3,24.4,29,72.7,92,1,21,23.5,60.3,92,4,23,28.5,9.6,91.09,1,23.2,26.9,6,94.79,2,23.6,28.5,3,83.53,2.52751537,22.88535013,29.53162393,14.96860099,91.09,1,20,30,52.4,92
1/12/1998,5,26,30.8,0,85,4,26,21.9,134,87.1879927,0,25,35,11.8,78,3,23.5,32.2,62,96.27,5,20,31.8,67.8,83,4,23.8,27.4,45.5,83,4,21.9,26,134,96.27,3,22.4,27.8,13.2,50.11,2,22.6,33.4,14.4,73.44,1,21.5,27.1,46,96.27,4,24.1,33,32.4,83
1/13/1998,5,24.5,33,39.49454648,84.49,0,30.5,23.3,18.5,91.43448905,0,24.8,32.5,27.6,88,2,23,27.6,28.4,96.61,4,25,29,65.6,81,2,22.9,32.3,29.6,81,0,23.3,30.5,18.5,96.61,2,23.4,29.5,55.2,91.31,3,25,32.5,31.7,83.6,0,24.8,31.7,26.8,96.61,3,23,27,84.5,81
1/14/1998,2,24,32.5,0,85,2,32.5,25.1,0,83.93832117,0,23.3,32,0,80,1,24.7,33.7,0,86.54,1,22.8,33.1,61.6,76,1,22.8,33.1,61.6,76,2,25.1,32.5,0,86.54,1,25.9,35.1,0.01,75.89,0,23.3,32,0,80,3,24.4,34.3,0,86.54,1,22,35.5,0.6,76
1/15/1998,4,23,31,20.6,84.36,0,29.5,23.9,38,95.4229562,2,25,30,50.8,84,1,23.5,27.5,43.2,98.14,3,25.4,28.6,55.9,88,2,24,27.6,89.7,88,0,23.9,29.5,38,98.14,2,24,29.5,93.8,89.8,2,24,30,17.4,91.31,0,24.7,31.5,15.4,98.14,2,22.2,29,48.5,88
1/16/1998,8,24,28,62.5,92.72,1,26.8,23.6,63.8,94.81777372,4,23.5,26.8,44.6,92,3,21,25.6,54.8,97.32,3,24.2,26.8,54.3,94,3,23,25.8,94,94,1,23.6,26.8,63.8,97.32,2,25.9,31,6.1,85.6,4,23.8,26.8,65.6,91.03,0,23.9,29,31.6,97.32,3,22,28,137.4,94
1/17/1998,7,24.5,29.8,0.8,85.33,0,31,23,14,82.82416058,0,21,31,0,86,2,19.5,30,20,87.94,6,25.4,30,53.8,91,3,22.6,29.6,29,91,0,23,31,14,87.94,5,21.9,31.1,79,82.1,2,22.6,31.8,0,75.08,0.957264957,21.11440996,30.23781676,16.74373969,87.94,3,21,31.5,11.9,91
1/18/1998,5,26.5,29.6,7.59585417,89,0,30.7,23.2,2.5,82.45383212,0,25.7,34.5,1.2,97,1,20.5,26.6,4.2,92.96,5,20.4,26.4,52.1,82,1,24,28.2,9.5,82,0,23.2,30.7,2.5,92.96,2,23.2,27.7,75,92.67,2,23.7,32.6,0,66.55,0,25.7,32.5,0.6,92.96,1,22,38.3,11.3,82
1/19/1998,9,24.5,31.5,42.23992573,89,1,33.8,24.4,0.5,89.31240876,0,23.8,33.7,19.6,87,1,24.3,27,0.01,90.84,4,23.5,31.8,51,83,4,23.5,31.8,51,83,1,24.4,33.8,0.5,90.84,1,25.1,34.2,20.5,81.5,0,23.8,33.7,19.6,87,0,24.5,33,6.6,90.84,3,21.8,25.8,90.8,83
1/20/1998,1,25,33,0,83.82,1,30.2,23.5,62,92.22558394,2,24.3,29.9,0,89,1,24.8,31.9,46.6,94.33,1,24,32.8,49.6,70,4,23.3,32.6,18.2,70,1,23.5,30.2,62,94.33,1,24.6,29.7,87,95.75,1,23.6,29.9,0,89.04,0,24.5,31.3,33.4,94.33,2,22.8,35.3,0,70
1/21/1998,1,23.5,31.5,2,86.4,0,32.4,23.4,0,90.42547445,1,24,29.5,27.6,98,1,25.3,33.5,0,91.42,1,24.4,30.7,48.6,77,2,24.7,32.2,2,77,0,23.4,32.4,0,91.42,1,25.3,32.3,6.6,84.4,1,24.4,29,3.8,88.92,0,23.7,28.3,0.4,91.42,1,22.5,32.5,6.1,77
1/22/1998,3,23.5,32.3,0,85,3,33.2,24.1,0,90.78959854,2,23.5,32,0,92,1,24.3,34.8,0,89.99,1,23,33.7,47.3,77,1,23,33.7,47.3,77,3,24.1,33.2,0,89.99,1,24.3,33.5,0,83.57,2,23.5,32,0,92,1,23.4,34.5,33.6,89.99,1,22,34.5,6,77
1/23/1998,4,24.8,30.8,0,82,1,35,23.2,0,74.25489051,0,21.7,32,0,77,2,22.8,37,0.01,73.69,1,19.2,30.6,47.2,72,1,21.1,35.1,45.1,72,1,23.2,35,0,73.69,1,26.5,31,0,66.26,2,20.9,31,0,75.11,2,23.7,35.1,0,73.69,1,20.5,32,0,72
1/24/1998,1,23,32.5,6.5,85.77,1,29,24.2,13.3,92.09481752,0,25.5,32.3,0,84,1,23.6,26.2,9.6,97.33,1,24,28,45.4,82,1,24.3,27.6,12.2,82,1,24.2,29,13.3,97.33,1,23.4,28,52,96.5,1,23,32.3,14,84.17,0,24.6,30,15.7,97.33,1,20.8,25,9,82
1/25/1998,3,22.6,31.5,0,81,4,30.5,22,0,73.48291971,1,20.5,32.5,0,76,1,21.8,33.3,0,76.92,2,17,27.4,44.9,81,2,21.1,30,0,81,4,22,30.5,0,76.92,1,21,31.2,0,69.3,2,21.3,31.5,0,68.28,2,21.2,33.6,0,76.92,1,20.5,31.5,0.6,81
1/26/1998,1,25,33,0,81.94,1,32,23.5,20.8,89.5919708,0,25,31.5,0.6,89,1,24,32.2,40.8,92.13,1,24.5,32.8,38.9,81,1,23.5,32.5,0,81,1,23.5,32,20.8,92.13,1,24,31.9,28.5,89.04,1,24.2,31.5,3,85.75,1,24.3,29,12.4,92.13,0,23,34,30,81
1/27/1998,3,25.5,33.2,0,83,0,31,23.6,0,85.18649635,0,24.2,31.5,0,68,0,24.5,35,0.01,96.54,1,23.8,34.3,38,74,1,23.8,34.3,38,74,0,23.6,31,0,96.54,1,24.1,31.4,2,92.03,0,24.2,31.5,0,68,0,24.4,30.8,12.2,96.54,1,21.5,34,0.2,74
1/28/1998,2,25,32,7,85.86,1,27.3,23.9,26.6,94.41463504,0,24.5,32.2,4.9,77,1,24.5,30,44.4,98.89,1,24.4,31,36.5,80,1,24,33.6,4.5,80,1,23.9,27.3,26.6,98.89,2,24,26.3,57.2,98.88,1,23,32.2,7.2,87.64,1,24.2,26.2,54.1,98.89,1,22,33.5,15.9,80
1/29/1998,2,26,33.6,2,83,1,33.2,25.3,0,84.13759124,1,25,33.2,0,84,1,26,35.2,0,89.15,2,22.6,34.2,36.4,74,1,24.4,34.8,0,74,1,25.3,33.2,0,89.15,1,25.2,33,0.01,78.58,3,24.1,33.1,1.2,76.55,3,24.3,35.4,0,89.15,2,24,35.5,0,74
1/30/1998,5,22.5,30,14.5,92.05,4,24.2,20.4,208,97.89116788,4,23.2,26.5,43,85,1,21.6,29.2,96.2,98.83,7,23.6,31,35,92,2,21.7,24.7,111.9,92,4,20.4,24.2,208,98.83,1,24.3,26.9,2.4,91.12,5,22.4,26.5,111.8,96.47,0,21,24.8,97.7,98.83,4,23,31.5,72.5,92
1/31/1998,3,24.5,33,0,83.26,0,29.8,23.1,30.6,85.19572993,2,24.5,34.2,0.4,87,1,24.2,27,29.2,94.23,3,24.6,27.8,34.4,77,2,23.1,31.4,5,77,0,23.1,29.8,30.6,94.23,1,23.3,28,50.4,86.65,2,24.6,34.2,0,71.52,2,23.3,32.4,21.4,94.23,1,23,27,9.2,77
2/1/1998,1,25,32.4,0,83.50430531,1,30.7,23.2,5.4,93.58080292,0,24,31.6,3,81,1,23.5,27.8,10.2,97.36,1,25.2,31,33.7,77,1,23.5,32.1,21.4,77,1,23.2,30.7,5.4,97.36,1,24.2,30.5,8.1,87.09,2,24.5,31.6,4.8,87.86,0,24.2,33.5,6,97.36,2,23.5,30,27.7,77
2/2/1998,4,24.5,29.5,8.2,86.93,1,28.8,24.5,11.6,92.27605839,0,24.5,28.9,0,82,2,24.5,31.3,14.4,98.1,6,24.6,31,32.8,82,2,24.3,28.8,6.5,82,1,24.5,28.8,11.6,98.1,3,23.8,25.9,455,98.88,4,24.3,28.9,3.4,83.46,5,24.2,28.5,31.3,98.1,1,22.4,32.5,15.4,82
2/3/1998,1,25.5,33.5,0,82.88,1,32.2,23,70.4,90.69828467,2,24.3,31.6,1.2,83,1,25,33.2,33.6,92.93,1,24.6,33.2,32.7,72,1,23.9,33.8,0.5,72,1,23,32.2,70.4,92.93,1,24.6,32.8,6,81.11,1,25,31.6,0.2,87.32,1,23.5,29.9,0.8,92.93,1,24,35,0,72
2/4/1998,9,22,30,7.5,94,3,31.7,22.8,0,81.85383212,3,20,34.4,0,94,1,24,34.5,0,73.83,4,19,28,32.2,78,2,22,30.6,0.9,78,3,22.8,31.7,0,73.83,1,25.3,33.8,0,61.76,3,20,34.4,0,94,2,23.4,34.4,0,73.83,1,22,29,0.01,78
2/5/1998,1,23,29,0,89.65,0,31.2,21.4,0,86.88729927,0,22.2,30.5,0,86,1,23,33.7,0,88.94,1,24,30.2,29.6,81,1,21.5,31,0,81,0,21.4,31.2,0,88.94,2,22.3,32.2,0,79.14,2,23.8,30.2,0,83.78,1,21.1,30.4,0,88.94,1,19.6,29,0,81
2/6/1998,3,26.5,33.4,0,81,2,35.2,24.1,0.5,86.3949635,0,23.2,33.2,0,73,0,23.5,35.8,0,94.2,2,21.6,32.8,28.1,67,2,24.4,34.2,0,67,2,24.1,35.2,0.5,94.2,1,25.6,35,0.7,72.75,2,25.2,33,0,74.58,2,25.3,35.5,0,94.2,2,24,37.5,0,67
2/7/1998,8,24.3,28.7,16,93,0,33,23.7,12.4,91.60529197,0,23.7,30.8,0,83,1,24,33.2,1.8,97.29,1,22.9,32.1,24.5,87,1,22.9,32.1,24.5,87,0,23.7,33,12.4,97.29,1,24.5,33.4,0.2,83.53,0,23.7,30.8,0,83,2,24.2,31.8,0,97.29,2,20.5,27.3,29,87
2/8/1998,4,23,31.5,177.7,88.99,2,26.4,24.2,24.8,95.79492701,0,23.6,28.7,0,89,1,24.5,30.3,17.6,98.87,2,24,29.2,23.6,97,2,23.6,26.7,39.4,97,2,24.2,26.4,24.8,98.87,1,23.4,26.3,39,94.91,3,23.6,28.7,58,91.14,0,24.2,27,25.2,98.87,1,22.1,31.2,161,97
2/9/1998,6,21.5,27.2,2.675960234,85,1,28.4,22.2,0,72.26423358,1,19.3,32.7,0,70,1,21,32.7,0.01,73.76,3,19,24.4,23,82,2,20.9,25.1,2.3,82,1,22.2,28.4,0,73.76,2,24.3,32.4,0,67.55,1,19.3,32.7,0,70,3,23.3,33.1,0,73.76,1,22,29.5,0.01,82
2/10/1998,1,24.5,31,6.3,87.71,1,27.4,23.8,4.4,91.54368613,0,24.2,32,0,89,1,24,31.5,12.6,97.3,2,24,30.8,22,90,1,22.6,27,4.4,90,1,23.8,27.4,4.4,97.3,1,24.5,31.2,0,85.45,1,24.5,32,0.4,82.83,0,24.4,28.3,4.9,97.3,0,24,31,24.7,90
2/11/1998,1,25,33.5,34,83.3,0,34.1,23.8,13.2,88.54981752,2,24.4,31.7,0.01,90,1,23,33,48,92.15,2,24.5,33,20.2,72,2,24.2,34.3,11.1,72,0,23.8,34.1,13.2,92.15,1,24.3,34.4,3.8,85.13,2,24.4,31.7,0.01,83.1,0,24.3,33.5,43.4,92.15,1,22.8,33,0,72
2/12/1998,3,27,32.4,0,85,1,32.7,25.9,3.8,87.75354015,0,24.6,32,1.6,79,1,24.8,34.2,0,90.94,1,23.2,33.8,18.2,74,2,24.8,33,0.3,74,1,25.9,32.7,3.8,90.94,1,25.2,31.9,9.6,91.35,2,24.4,31.9,2.6,82.93,2,24.4,29.9,2.4,90.94,1,23.8,35,0,74
2/13/1998,4,23.7,28.2,19,93,3,31.2,23.6,0,84.51967153,1,22.5,32.8,0,92,1,21.8,34.8,0.01,89.91,1,21.9,26.2,17.7,86.15,1,21.9,26.2,17.7,86.15,3,23.6,31.2,0,89.91,1,22.9,32.6,0,81.76,2,23.8,32.7,0,76.36,0,24.3,31.4,0,89.91,1,21.7,30.8,31.5,86.15
2/14/1998,1,25,32.5,0,84.52,1,30.4,24.1,4.2,90.52507299,2,25,31.9,2.8,82,1,23.5,31.5,2.6,95.08,1,24.4,30.5,17.4,79,1,23.5,31.5,4.7,79,1,24.1,30.4,4.2,95.08,1,24.2,30.4,6.3,95.74,1,24,31.9,34.6,83.63,3,24.3,24.6,34,95.08,0,23.3,34,35.6,79
2/15/1998,1,23,31,0,89.89,3,33.1,24.3,0,89.06412409,0,22.2,31.5,0,89,1,24,34,4,92.72,3,24,30.4,16,83,1,23,31.1,0,83,3,24.3,33.1,0,92.72,1,23.7,33.1,0.3,84.86,2,24,32,0,83.53,2,23.7,33.4,0,92.72,1,21.6,33,0.6,83
2/16/1998,1,24.5,32.5,0,82,2,34,23.6,0,74.9409854,0,21.7,33.4,0,80,2,25,37.7,0,74.03,2,20.4,31,15.9,69,1,23.3,33.3,0,69,2,23.6,34,0,74.03,1,25.3,33.6,0,66.82,2,22.3,32.4,0,76.32,2,23.9,36.9,0,74.03,2,24.7,28.3,0,69
2/17/1998,7,21.5,31,0,84,3,30.4,23.2,0,73.34251825,0,20.5,34.5,0,71,1,20.5,34,0,74.89,5,18,26.8,15.6,79,3,21.9,28,0,79,3,23.2,30.4,0,74.89,1,22.6,32,0,70.8,0,20.5,34.5,0,71,2,23.5,33.5,0,74.89,2,21,29.5,0,79
2/18/1998,10,23.5,30.5,84.90224782,94.36,1,25.7,23.2,62.7,96.72784672,2,27.5,28.7,168.9,89,2,24.3,31.7,65.4,98.88,6,27,31,15.2,88,5,24.5,28.5,23.4,88,1,23.2,25.7,62.7,98.88,2,24.3,28,9.8,89.63,6,23.4,28.7,168.9,93.47,2,23.9,26.6,65.2,98.88,11,21.5,30.7,188.7,88
2/19/1998,2,25.4,33.2,0,85,1,32.4,23.5,0,88.86605839,0,24.3,32.7,0,85,1,24.2,35,0,91.42,1,24,33.9,12.6,72,1,24,33.9,12.6,72,1,23.5,32.4,0,91.42,1,24.6,32.5,0.5,89.04,0,24.3,32.7,0,85,1,24.5,34.6,0,91.42,1,22.8,35,0,72
2/20/1998,6,23,27.4,1,84,2,30.2,22.4,0,77.16222628,2,17.8,34,0,76,2,22.4,34.5,0,77.93,2,19,28,12.4,82,1,20.2,28,0,82,2,22.4,30.2,0,77.93,1,22.6,31.5,0,73.79,2,17.8,34,0,76,2,22.3,33.7,0,77.93,1,21,30.4,0,82
2/21/1998,2,25,32.4,0,83.86,2,28,24.6,10.2,91.17160584,0,24.2,31.8,0,89,1,25.5,31.5,19.8,96.55,2,25,31.8,12.3,80,1,23.5,33,0.6,80,2,24.6,28,10.2,96.55,1,25,28.5,59.6,94.97,1,24.6,31.8,0,83.03,2,25,28.5,8.6,96.55,1,22,31,30.2,80
2/22/1998,4,24,31,0,87.76,3,30.3,24.5,0,83.48383212,0,21.5,34,0,85,1,23,32.5,0,89.63,3,24,30.6,11.2,83,1,22.4,28.8,5.8,83,3,24.5,30.3,0,89.63,1,22.8,26.1,7.6,95.66,2,24.2,34,0,74.18,0,23.7,31.7,0,89.63,1,20.5,31,0.8,83
2/23/1998,7,21,28.8,17,81,4,30.2,22.2,0,74.23978102,3,19,32.7,0,71,1,23,33,0,76.38,4,18.6,24,11.2,79,2,21.2,29.7,0,79,4,22.2,30.2,0,76.38,1,22.3,31.5,0,68.95,3,19,32.7,0,71,3,22.7,33.4,0,76.38,1,21.5,27,0,79
2/24/1998,2,25,32.2,0,83.1,3,26.7,23.2,2.6,90.25536496,0,24.2,29.6,2.8,83,1,25,31.8,2.4,93.41,1,24.6,31.5,11,85,1,23,27.8,28.8,85,3,23.2,26.7,2.6,93.41,1,24,30,0.01,85.27,1,23.6,29.6,0.2,85.48,0,23.7,28,1.2,93.41,1,24,32,9.7,85
2/25/1998,4,24.5,32.5,30.69190188,82,1,33.8,24.2,5.4,79.56430657,0,25,35.6,3.3,83,1,25.5,31,11.6,87.25,2,22,31.2,11,80,1,24.8,33.8,11.8,80,1,24.2,33.8,5.4,87.25,1,25.3,33.5,15,84.95,3,23,35,0.01,67.93,1,25.6,34.7,2,87.25,2,23.2,25.5,64.3,80
2/26/1998,3,26.7,33.1,14,82,1,35.9,25.2,0.4,76.50843066,1,23.2,33.6,0,84,1,24.5,30.5,0.01,80.22,4,21.4,30.4,10.4,69,1,23.8,36.3,2.2,69,1,25.2,35.9,0.4,80.22,1,24.7,35.2,8.2,75.65,2,24.5,34,0,70.89,2,26,37.7,0,80.22,2,22.8,27.9,2,69
2/27/1998,3,24,29,3.194531871,85,7,27.8,23.7,87,93.66021898,6,23.2,30,0.6,87,2,24.5,30.2,43.3,98.06,2,22.9,29.6,10,82,2,22.9,29.6,10,82,7,23.7,27.8,87,98.06,2,24.8,27.5,21.4,93.41,6,23.2,30,0.6,87,8,23.4,25.3,28,98.06,1,22.7,33,1.2,82
2/28/1998,2,27.3,33.5,0,84,3,34.4,23.8,0,77.72083942,1,23.8,34,0,88,1,26,36.4,0,77.51,1,19.7,33.4,10,70,1,23.6,35.3,0,70,3,23.8,34.4,0,77.51,1,24.2,36,0,67.03,2,22,32.8,0,78.04,2,24.4,35.8,0,77.51,2,25.4,38,0,70
